Language_name,I,all,ash,bark,belly,big,bird,bite,black,blood,bone,breast,burn,claw,cloud,cold,come,die,dog,drink,dry,ear,earth,eat,egg,eye,feather,fire,fish,flesh,fly,foot,full,give,good,grease,green,hair,hand,head,hear,heart,horn,hot,kill,knee,know,leaf,lie,liver,long,louse,man,many,moon,mountain,mouth,name,neck,new,night,nose,not,one,path,person,rain,red,root,round,sand,say,see,seed,sit,skin,sleep,small,smoke,stand,star,stone,sun,swim,tail,that,this,tongue,tooth,tree,two,walk,water,we,what,white,who,woman,yellow,you
A51 Bafia Maja,,,,,,,,,,bwap,w3p,Ta,,,,,ywi,wu,b3,nwE,,le,,,,"d""i7",,"d""u",zEy,,,,lwey,,,,,,,,wow7,,toN,,,"d""w3",,fyeyN,,kw3m,,TEy,,,,dwey,,"d""i",,NwEy,lwe,"d""wey",,fo7,be,mum,,,,,,,xEyN,,,kwokw3,,,,,fyE,gow5,,,,,,"d""3ma7",soN,t3,"b""yE",,momo,,,,,,,
A51 Bafia Tumi Tingon,,,,,,,,,,nbwap,wop,bye,,,,,yu,w3,mb3,no,,ti,,,,dit,,du,k3nsEn,,,,lono,,,,,,,,woi,,toN,,,"d""o",,fyEn,,posok,,Ci,,,,don,,"d""i",,Con,tu,di,,fok,kpoN,mwot,,,,,,,xE,,,kwokwo,,,,,fyE,ngok,mwot,,,,,demak,so*,ntye,bye,,m3ni,,,,,,,
A51 Bafia Zakaan,,,,,,,,,,bwa*a,w37,bE*N,,,,,yi,,bo*,,,le,,,,di*,,du,,,,,lwEni,,,,,,,,,,to*,,,do,,fiN,,bE,,CiN,,,,,,,,CwE*y,lo*,,,"b""o",be,mu*m,,,,,,,,,,gu*gu*,,,,,fyE,go,mwe*,,,,,d3ma*,so*,t3,bie*,,no7,,,,,,,
A53 Bafia Rikpa,,,,,,,,,,buap,wop,Elu,,,,,yu,wu,bu,no,,re,,,,is,,u,zEn,,,,,,,,,,a*7,,wo,,toN,,,"d""u",,En,,ko*m,,e*l,,,,don,,i,,5o,ru,ol,,fo,be,um,,,,,,,xEn,,,koko,,,,,Ei,go,Nuos,,,,,lEma,in,te,"b""E",,nu,,,,,,,
A54 Bafia Njanti,,,,,,,,,,Tyi,p83y,bi,,,,,p83,yu,nbu,nu,,ti,,,,co,,c3,nco,,,,l3N,,,,,,,,k3w3w,,tw3o,,,,,je,,"b""l3",,"b""ye",,,,kayN,,jie,,5u,so,ju,,83,bey,cey,,,,,,,yayn,,,ko,,,,,nEy3,TiaN,fyo,,,,,"d""ayN",swEon,tey,"b""a",,5i,,,,,,,
A60 Gunu,,,,,,,,,,noNo,guagua,ba5E,,,,,ul,gu,boa,nu,,du,,,,iso,,yuke,obo,,,,dacE,,,,,,,,ob,,doNo,,,nu,,a5e,,,,goEna,,,,gondo,,fino,,fa,dugu,ono,,mmwe,bala,to,,,,,,,En,,,ola,,,,,,,,,,,,lEmbE,i5o,a5e,handE,,impo,,,,,,,
A60 Mmaala,,,,,,,,,,noN,ko,bana,,,,,ul,fu,bwa,bu,,du,,,,isi,,ogo,obo,,,,,,,,,,,,ob,,loNo,,,nu,,gyanyE,,,,5ini,,,,gondo,,fEnE,,,dugu,funu,,mumo,yili,andu,,,,,,,an,,,ololo,,,,,ododo,danyE,onyo,,,,,lambi,inyi,dEdE,andE,,dega,,,,,,,
A61 Ngoro Asom,,,,,,,,,,Ti,8ui,"b""e",,,,,nju,yu,mvo,5u,,lw3,,,,ji,,ndw3n,k3,,,,bom,,,,,,,,wok,,lak,,,,,aky~E,,ith~e,,an3N,,,,nkut,,ju,,kadE,lu,ju,,pok,nji,ot,,,,,,,yEn,,,ko,,,,,isala,lE,ji8wa*n,,,,,"d""3m",soN,8owi,"b""E",,njim,,,,,,,
A62 Kalonge,,,,,,,,,,noNo,koko,pEnE,,,,,ol,ku,mbua,puwa,,tu,,,,nins,,ik,opo,,,,wonon,,,,,,,,op,,loN,,,nu,,a5,,mo5o,,pal,,,,okEl,,siEn,,kos,tuku,fun,,mom,Nili,mond,,,,,,,En,,,kiopo,,,,,otiotio,ta5,o5,,,,,lemb,i5,tE,andE,,momb,,,,,,,
A72a Ewondo,,,,,,,,,,ki,vEs,bE,,,,,zu,wu,mvu,nyu,,lo,,,,is,,ndoan,kwas,,,,cye,,,,,,wa,,wog,,twaN,,,boN,,kiE,,s3g,,nyin,,,,kol,,cwe,,pkpamaN,lu,cwe,,fwag,zen,od,,,,,,,yen,,,kob,,,,,titie,Ngwag,vian,,,,,y3m,soN,ele,bE,,ndim,,,,,,,
